DATE,FFR,BOK,TB3Y,TB10Y,CD,USD,A_SP,A_CP,A_AUM,A_VOL,A_NAV,B_SP,B_CP,B_AUM,B_VOL,B_NAV,C_SP,C_CP,C_AUM,C_VOL,C_NAV,D_SP,D_CP,D_AUM,D_VOL,D_NAV,E_SP,E_CP,E_AUM,E_VOL,E_NAV,F_SP,F_CP,F_AUM,F_VOL,F_NAV,G_SP,G_CP,G_AUM,G_VOL,G_NAV
2024-05-31,5.500,3.500,3.452,3.580,3.610,"1,381.60","109,735","109,755","735,578","7,950",109764.1,"59,605","59,600","384,420","4,057",59585.41,"109,240","109,320","101,012",4,109396.43,"111,145","110,855","486,653","5,364",110839.71,"55,575","55,750","53,409",7,55798.46,"36,325","36,010","6,193,720","5,019,907",35975.76,"4,250","4,285","603,757","19,138,248",4281.16
2024-05-30,5.500,3.500,3.440,3.562,3.600,"1,364.80","109,725","109,760","734,514","35,332",109732.93,"59,585","59,600","384,420","2,937",59587.74,"109,375","109,340","101,030",4,109344.42,"110,835","110,935","495,879","26,334",110955.66,"55,820","55,750","53,409",9,55726.93,"36,380","36,025","6,270,151","6,689,431",36023.36,"4,245","4,285","602,043","25,196,070",4279.91
2024-05-29,5.500,3.500,3.420,3.535,3.610,"1,359.50","109,720","109,720","732,271","51,048",109726.06,"59,635","59,590","384,356","2,091",59616.57,"109,180","109,210","100,910",4,109239.34,"111,200","111,145","495,707","10,062",111165.87,"55,510","55,545","53,212",7,55579.65,"37,100","36,690","6,264,818","8,392,854",36647.34,"4,160","4,205","624,443","23,189,787",4207.5
2024-05-28,5.500,3.500,3.387,3.477,3.620,"1,365.40","109,720","109,720","732,271","20,970",109720.92,"59,645","59,680","384,936","1,263",59675.28,"109,155","109,150","100,855",4,109117.42,"111,550","111,610","497,781","3,741",111621.62,"55,380","55,370","53,044",7,55323.68,"37,080","37,235","6,452,826","4,056,913",37285.83,"4,160","4,140","635,490","20,611,692",4144.17
2024-05-27,5.500,3.500,3.410,3.497,3.610,"1,370.00","109,695","109,705","732,171","7,600",109706.44,"59,625","59,620","384,549","2,851",59638.88,"109,200","109,195","100,896",5,109169.57,"111,475","111,500","495,060","8,871",111443.55,"55,425","55,410","53,083",11,55408.08,"36,785","37,195","6,529,582","6,649,585",37265.83,"4,190","4,150","644,080","38,208,337",4147.19
2024-05-24,5.500,3.500,3.415,3.507,3.600,"1,364.50","109,690","109,700","732,138","80,547",109693.54,"59,595","59,605","384,452","12,386",59626.2,"109,120","109,140","100,845",4,109176.24,"111,300","111,260","493,994","30,085",111340.26,"55,395","55,440","53,112",7,55467.91,"36,715","36,685","6,498,748","5,643,266",36757.53,"4,195","4,210","645,814","26,027,026",4206.62
2024-05-23,5.500,3.500,3.400,3.465,3.600,"1,363.10","109,640","109,690","730,974","6,941",109668.32,"59,620","59,660","384,330","9,288",59638.99,"109,180","109,130","100,836",4,109087.34,"111,690","111,600","495,504","6,532",111655.19,"55,310","55,305","52,982",16,55264.07,"37,215","37,265","6,648,076","5,226,850",37316.44,"4,145","4,135","643,406","21,484,243",4137.33
2024-05-22,5.500,3.500,3.415,3.485,3.600,"1,364.40","109,645","109,665","729,711","29,282",109654.74,"59,635","59,585","383,847","9,823",59601.22,"109,045","109,080","100,790",4,109158.86,"111,500","111,555","495,304","16,564",111487.06,"55,220","55,240","52,920",7,55337.67,"37,200","37,265","6,640,623","6,379,874",37296.59,"4,140","4,135","647,128","29,029,527",4135.9
2024-05-21,5.500,3.500,3.412,3.495,3.600,"1,356.20","109,640","109,640","729,545","14,783",109644.82,"59,600","59,615","384,040","11,057",59598.66,"109,185","109,155","100,859",4,109129.89,"111,325","111,485","494,993","4,393",111402.76,"55,460","55,375","53,049",7,55363.16,"37,335","37,265","6,631,307","5,812,774",37311.17,"4,125","4,140","635,904","15,850,684",4131.05
2024-05-20,5.500,3.500,3.407,3.497,3.600,"1,355.20","109,635","109,640","729,545","11,112",109636.09,"59,620","59,585","383,847","6,053",59599.36,"109,045","109,075","100,785",4,109121.93,"111,465","111,245","493,928","8,949",111371.5,"55,290","55,330","53,006",7,55383.17,"37,480","37,460","6,566,738","4,447,271",37528.04,"4,115","4,115","621,777","27,519,408",4115.49
